,openness,openness,conscientiousness,conscientiousness,extraversion,extraversion,agreeableness,agreeableness,neuroticism,neuroticism
,mean,std,mean,std,mean,std,mean,std,mean,std
category,,,,,,,,,,
Business Management and Finance,72.59,11.35,80.27,9.28,67.77,21.22,64.04,12.37,31.21,7.01
Creative Media and Design,86.58,5.61,66.2,6.23,55.98,14.99,60.9,5.79,37.12,5.46
Education and Research,78.58,10.18,82.11,6.14,60.01,14.08,78.81,11.69,29.92,5.11
Engineering and Architecture,73.61,8.97,86.67,6.36,43.29,7.51,58.31,6.42,28.61,5.81
Environmental Science,88.08,5.22,82.22,4.94,38.16,4.85,70.31,4.99,29.95,4.9
Healthcare and Medical,64.56,6.18,87.8,7.47,49.78,13.3,76.55,9.85,25.59,6.23
Law Government and Security,65.01,9.99,91.33,5.54,67.52,9.96,62.52,6.88,21.24,6.92
Social and Behavioral Sciences,79.91,9.36,72.25,4.99,58.51,6.11,92.03,5.21,33.42,5.42
Technology and IT,77.25,10.02,86.1,6.59,39.61,6.72,53.51,5.48,29.17,6.01
