feature,anova_f_score,mutual_information,importance,separation_score,rank_anova,rank_mi,rank_catboost,rank_separation,overall_rank
agreeableness,9380.568129043071,0.466864646698848,25.20505410942825,2.131856,1.0,3.0,1.0,1.0,1.5
conscientiousness,8718.287136462905,0.40025202515734426,14.727828850077081,1.333999,2.0,5.0,3.0,2.0,3.0
leadership_index,6276.530274007349,0.4442352535072627,13.939387276353328,1.093789,3.0,4.0,4.0,3.0,3.5
social_index,5369.668850833973,0.49025468083854973,4.9686573150365545,1.0288,4.0,1.0,7.0,4.0,4.0
openness,4702.386897246163,0.32696523864656557,16.831594985057674,0.825532,5.0,7.0,2.0,5.0,4.75
extraversion,4379.634103671119,0.47771097772120363,8.297578641229325,0.778079,6.0,2.0,5.0,6.0,4.75
creativity_index,3116.538921785906,0.3804478660140016,6.021101299547905,0.465184,9.0,6.0,6.0,9.0,7.5
neuroticism,3601.6481533664937,0.22064511181289204,3.490228462615299,0.513075,7.0,9.0,8.0,7.0,7.75
emotional_stability,3601.6481533654755,0.22394649943455924,3.0433426336289005,0.513075,8.0,8.0,10.0,7.0,8.25
analytical_index,1481.4234889105098,0.13943624466562055,3.4752264270256896,0.351805,10.0,10.0,9.0,10.0,9.75
