,openness,conscientiousness,extraversion,agreeableness,neuroticism,emotional_stability,analytical_index,social_index,leadership_index,creativity_index
openness,1.0,-0.484,0.047,-0.09,0.48,-0.48,0.588,-0.015,-0.249,0.596
conscientiousness,-0.484,1.0,-0.287,-0.144,-0.589,0.589,0.423,-0.267,0.328,-0.501
extraversion,0.047,-0.287,1.0,0.401,0.146,-0.146,-0.217,0.879,0.811,0.83
agreeableness,-0.09,-0.144,0.401,1.0,0.019,-0.019,-0.227,0.79,0.308,0.272
neuroticism,0.48,-0.589,0.146,0.019,1.0,-1.0,-0.048,0.108,-0.215,0.385
emotional_stability,-0.48,0.589,-0.146,-0.019,-1.0,1.0,0.048,-0.108,0.215,-0.385
analytical_index,0.588,0.423,-0.217,-0.227,-0.048,0.048,1.0,-0.263,0.045,0.154
social_index,-0.015,-0.267,0.879,0.79,0.108,-0.108,-0.263,1.0,0.703,0.698
leadership_index,-0.249,0.328,0.811,0.308,-0.215,0.215,0.045,0.703,1.0,0.513
creativity_index,0.596,-0.501,0.83,0.272,0.385,-0.385,0.154,0.698,0.513,1.0
