category_1,category_2,feature,absolute_mean_difference
Engineering and Architecture,Technology and IT,agreeableness,4.8
Engineering and Architecture,Technology and IT,social_index,4.24
Engineering and Architecture,Technology and IT,extraversion,3.68
Engineering and Architecture,Technology and IT,openness,3.64
Engineering and Architecture,Technology and IT,leadership_index,2.13
Engineering and Architecture,Technology and IT,analytical_index,1.53
Engineering and Architecture,Technology and IT,conscientiousness,0.57
Engineering and Architecture,Technology and IT,neuroticism,0.56
Engineering and Architecture,Technology and IT,emotional_stability,0.56
Engineering and Architecture,Technology and IT,creativity_index,0.02
Education and Research,Healthcare and Medical,openness,14.02
Education and Research,Healthcare and Medical,creativity_index,12.12
Education and Research,Healthcare and Medical,extraversion,10.23
Education and Research,Healthcare and Medical,social_index,6.25
Education and Research,Healthcare and Medical,conscientiousness,5.69
Education and Research,Healthcare and Medical,neuroticism,4.33
Education and Research,Healthcare and Medical,emotional_stability,4.33
Education and Research,Healthcare and Medical,analytical_index,4.17
Education and Research,Healthcare and Medical,leadership_index,2.27
Education and Research,Healthcare and Medical,agreeableness,2.26
Business Management and Finance,Creative Media and Design,conscientiousness,14.07
Business Management and Finance,Creative Media and Design,openness,13.99
Business Management and Finance,Creative Media and Design,leadership_index,12.93
Business Management and Finance,Creative Media and Design,extraversion,11.79
Business Management and Finance,Creative Media and Design,social_index,7.46
Business Management and Finance,Creative Media and Design,emotional_stability,5.91
Business Management and Finance,Creative Media and Design,neuroticism,5.91
Business Management and Finance,Creative Media and Design,agreeableness,3.14
Business Management and Finance,Creative Media and Design,creativity_index,1.1
Business Management and Finance,Creative Media and Design,analytical_index,0.04
