depth,iterations,learning_rate,l2_leaf_reg,random_strength,cv_accuracy,cv_macro_f1
7,700,0.03,5,1.0,0.7777045116497528,0.7730210858603535
7,600,0.03,3,1.0,0.7776363329307446,0.7727413808130867
6,700,0.03,3,2.0,0.7775226883023402,0.7723358240532403
6,700,0.05,3,1.0,0.7770454388189044,0.7722559358088011
8,600,0.03,3,1.0,0.7769318205340738,0.7712863083044627
6,800,0.03,5,1.0,0.7768636123722477,0.7719410741727217
6,700,0.03,3,1.0,0.7768408701198176,0.7722210157891847
6,700,0.03,7,1.0,0.7767045173306671,0.7721743612877864
6,700,0.03,3,0.5,0.776386333445994,0.7715498148362373
5,700,0.03,3,1.0,0.7762499558628915,0.772623396232337
6,500,0.03,3,1.0,0.7759090529701181,0.7708888400659161
5,500,0.03,3,1.0,0.7736363169138517,0.7694462616589393
