openness,conscientiousness,extraversion,agreeableness,neuroticism,career,category
88.76,70.99,94.03,64.76,32.54,Marketing Manager,Business Management and Finance
69.8,78.5,60.0,72.0,29.02,Physiotherapist,Healthcare and Medical
73.48,92.85,31.82,51.56,21.63,Chemical Engineer,Engineering and Architecture
93.18,55.1,43.96,64.23,40.27,Graphic Designer,Creative Media and Design
53.45,83.96,63.13,88.2,22.04,Nurse,Healthcare and Medical
67.5,79.79,63.33,83.26,34.6,Academic Advisor,Education and Research
57.12,99.74,55.16,52.74,8.39,Pilot,Law Government and Security
50.89,88.75,70.78,61.25,17.91,Army Officer,Law Government and Security
85.53,80.79,38.03,56.41,26.97,Software Engineer,Technology and IT
65.8,81.15,52.73,81.6,24.75,Physiotherapist,Healthcare and Medical
85.32,67.76,82.9,63.6,29.74,Digital Marketing Specialist,Creative Media and Design
64.01,86.39,28.75,53.81,26.29,Cybersecurity Analyst,Technology and IT
64.31,95.17,30.26,63.15,25.59,Medical Laboratory Technologist,Healthcare and Medical
72.2,92.62,31.46,58.08,18.46,Chemical Engineer,Engineering and Architecture
65.0,77.98,44.43,46.38,32.32,Cloud Engineer,Technology and IT
63.16,83.55,43.05,56.0,25.74,Electrical Engineer,Engineering and Architecture
56.89,89.98,32.29,51.66,23.56,Database Administrator,Technology and IT
88.61,70.46,45.56,59.78,44.01,Animator,Creative Media and Design
77.76,87.97,46.85,52.77,22.83,Software Engineer,Technology and IT
84.59,69.39,55.64,56.73,40.78,Photographer,Creative Media and Design
73.37,86.21,76.81,75.8,33.43,Project Manager,Business Management and Finance
63.94,91.07,57.64,82.49,21.16,Doctor,Healthcare and Medical
87.96,86.74,43.39,54.54,23.03,Machine Learning Engineer,Technology and IT
83.79,64.6,40.99,69.81,36.85,Graphic Designer,Creative Media and Design
80.1,81.09,61.13,76.63,23.22,Professor,Education and Research
76.68,84.12,44.59,60.34,28.44,DevOps Engineer,Technology and IT
92.38,74.03,43.49,51.77,28.24,Machine Learning Engineer,Technology and IT
71.33,79.78,33.02,51.24,24.73,Electrical Engineer,Engineering and Architecture
50.38,94.08,30.7,46.54,24.88,Accountant,Business Management and Finance
76.04,75.92,71.07,87.14,38.23,Teacher,Education and Research
65.28,83.03,64.61,92.39,40.56,Academic Advisor,Education and Research
66.4,79.54,41.95,52.66,33.5,Mechanical Engineer,Engineering and Architecture
76.49,91.65,34.29,47.07,27.61,Cybersecurity Analyst,Technology and IT
62.67,89.78,37.1,61.37,27.2,Civil Engineer,Engineering and Architecture
67.22,80.62,49.65,68.16,27.46,Dentist,Healthcare and Medical
68.49,87.25,44.43,51.97,36.12,Electrical Engineer,Engineering and Architecture
74.22,92.35,43.93,82.24,23.74,Dentist,Healthcare and Medical
67.57,82.44,46.79,66.05,30.45,Civil Engineer,Engineering and Architecture
61.02,87.59,36.51,44.96,33.04,Financial Analyst,Business Management and Finance
68.49,68.28,38.27,56.28,35.06,Web Developer,Technology and IT
83.41,79.51,30.58,54.84,32.42,Data Scientist,Technology and IT
100.0,89.0,44.79,58.75,31.89,AI Engineer,Technology and IT
62.21,73.52,65.43,76.24,21.89,Nutritionist,Healthcare and Medical
58.71,98.85,45.28,77.37,20.8,Surgeon,Healthcare and Medical
88.61,80.79,40.78,73.75,22.06,Environmental Scientist,Environmental Science
68.17,88.97,68.27,84.53,32.41,Doctor,Healthcare and Medical
59.02,76.35,54.26,92.3,24.54,Nurse,Healthcare and Medical
77.86,93.57,54.97,58.91,23.81,Industrial Engineer,Engineering and Architecture
54.04,90.21,28.67,60.15,16.26,Radiologist,Healthcare and Medical
85.34,93.55,35.25,55.98,31.31,AI Engineer,Technology and IT
75.46,84.78,42.24,60.02,29.41,Civil Engineer,Engineering and Architecture
62.62,91.28,75.72,71.92,21.67,Project Manager,Business Management and Finance
83.86,77.31,85.19,57.8,35.49,Marketing Manager,Business Management and Finance
81.44,60.28,50.53,58.29,40.79,Animator,Creative Media and Design
67.93,75.75,62.72,96.57,34.02,Social Worker,Social and Behavioral Sciences
86.28,72.19,81.1,60.31,39.16,Marketing Manager,Business Management and Finance
78.7,93.13,36.06,57.5,21.89,Chemical Engineer,Engineering and Architecture
58.44,85.72,55.11,60.04,9.4,Pilot,Law Government and Security
67.25,81.52,44.81,51.08,26.7,Civil Engineer,Engineering and Architecture
59.38,90.38,34.53,66.09,38.13,Medical Laboratory Technologist,Healthcare and Medical
66.04,82.34,41.0,56.67,38.02,Web Developer,Technology and IT
78.56,90.35,40.82,52.85,33.8,Cloud Engineer,Technology and IT
82.22,92.42,66.25,88.89,25.56,Doctor,Healthcare and Medical
63.46,82.79,72.6,74.63,30.77,Civil Servant CSS Officer,Law Government and Security
92.55,78.92,85.78,56.5,45.33,Entrepreneur,Business Management and Finance
83.29,69.48,84.28,64.13,30.55,Digital Marketing Specialist,Creative Media and Design
78.27,71.28,56.5,88.58,33.82,Psychologist,Social and Behavioral Sciences
66.55,90.05,39.19,77.99,26.41,Pharmacist,Healthcare and Medical
90.14,88.84,38.1,50.78,25.85,AI Engineer,Technology and IT
65.07,78.88,54.23,79.75,35.88,Nutritionist,Healthcare and Medical
56.43,84.75,74.41,57.32,20.25,Army Officer,Law Government and Security
90.3,75.7,89.59,59.91,38.04,Entrepreneur,Business Management and Finance
76.77,85.0,54.8,61.91,28.91,DevOps Engineer,Technology and IT
79.65,88.12,73.19,70.07,32.71,Civil Servant CSS Officer,Law Government and Security
63.99,97.0,24.16,64.57,23.48,Chemical Engineer,Engineering and Architecture
57.34,92.49,67.59,66.55,24.82,Police Officer,Law Government and Security
65.82,76.21,82.51,66.39,32.26,Sales Manager,Business Management and Finance
93.81,60.84,49.42,69.36,38.51,Animator,Creative Media and Design
77.38,88.36,33.22,42.73,21.46,DevOps Engineer,Technology and IT
83.02,74.6,84.53,64.57,32.53,Journalist,Creative Media and Design
75.03,70.09,87.98,60.53,33.39,Sales Manager,Business Management and Finance
79.11,92.31,35.82,52.66,31.2,Data Scientist,Technology and IT
81.99,77.74,41.94,52.36,26.48,Mobile App Developer,Technology and IT
70.63,77.27,50.4,55.43,35.0,Mobile App Developer,Technology and IT
59.58,92.57,30.33,54.98,25.3,Accountant,Business Management and Finance
63.99,79.67,57.77,79.95,25.38,Physiotherapist,Healthcare and Medical
66.7,75.5,62.44,82.68,30.01,Physiotherapist,Healthcare and Medical
73.25,83.27,60.61,74.37,30.47,Business Analyst,Business Management and Finance
83.85,79.68,26.12,61.89,44.06,Data Scientist,Technology and IT
77.64,66.01,57.58,96.45,28.28,Social Worker,Social and Behavioral Sciences
90.03,82.64,72.97,86.03,31.61,Professor,Education and Research
89.37,83.71,41.58,72.91,27.19,Environmental Scientist,Environmental Science
73.9,73.36,78.49,83.71,35.89,Teacher,Education and Research
74.51,100.0,61.83,68.27,18.84,Judge,Law Government and Security
64.03,100.0,37.48,45.71,18.67,Accountant,Business Management and Finance
68.87,83.65,84.98,90.16,36.28,Teacher,Education and Research
