openness,conscientiousness,extraversion,agreeableness,neuroticism,actual,predicted
77.27,92.23,36.58,55.51,27.51,Engineering and Architecture,Technology and IT
73.75,76.27,45.39,54.97,34.3,Engineering and Architecture,Technology and IT
76.88,84.0,42.05,54.98,30.06,Engineering and Architecture,Technology and IT
67.3,90.13,40.09,45.76,27.23,Engineering and Architecture,Technology and IT
69.6,83.94,26.61,55.77,31.97,Engineering and Architecture,Technology and IT
79.3,81.83,36.83,53.59,25.58,Engineering and Architecture,Technology and IT
81.59,90.34,31.6,63.76,28.38,Engineering and Architecture,Technology and IT
80.98,87.83,45.87,52.27,27.98,Engineering and Architecture,Technology and IT
73.55,80.49,37.13,59.89,36.27,Engineering and Architecture,Technology and IT
83.57,91.04,36.87,51.45,24.65,Engineering and Architecture,Technology and IT
71.95,90.72,45.61,41.37,34.14,Engineering and Architecture,Technology and IT
91.52,87.88,49.87,62.72,27.71,Engineering and Architecture,Technology and IT
80.43,90.27,47.79,60.25,18.27,Engineering and Architecture,Technology and IT
79.24,86.09,34.99,60.08,27.56,Engineering and Architecture,Technology and IT
63.58,86.69,34.07,56.25,23.86,Engineering and Architecture,Technology and IT
78.66,89.25,36.34,46.7,21.94,Engineering and Architecture,Technology and IT
90.55,81.0,46.36,58.45,31.25,Engineering and Architecture,Technology and IT
79.68,100.0,31.49,54.07,17.6,Engineering and Architecture,Technology and IT
78.18,90.29,43.5,50.83,38.16,Engineering and Architecture,Technology and IT
76.54,87.12,37.44,54.9,21.97,Engineering and Architecture,Technology and IT
67.23,85.45,36.6,47.85,24.14,Engineering and Architecture,Technology and IT
74.19,76.31,41.37,53.81,35.44,Engineering and Architecture,Technology and IT
76.58,86.12,49.89,59.69,34.6,Engineering and Architecture,Technology and IT
76.05,77.46,44.63,50.45,33.57,Engineering and Architecture,Technology and IT
71.01,92.12,45.02,48.46,26.95,Engineering and Architecture,Technology and IT
65.84,78.64,42.03,53.64,32.35,Engineering and Architecture,Technology and IT
78.1,78.96,34.23,63.72,33.82,Engineering and Architecture,Technology and IT
78.74,77.13,52.23,59.26,25.61,Engineering and Architecture,Technology and IT
65.01,89.23,38.1,49.55,31.18,Engineering and Architecture,Technology and IT
87.29,76.83,41.77,56.57,31.33,Engineering and Architecture,Technology and IT
63.05,87.0,34.32,49.83,31.73,Engineering and Architecture,Technology and IT
67.75,88.74,39.25,49.72,25.04,Engineering and Architecture,Technology and IT
71.18,97.4,32.5,50.45,29.22,Engineering and Architecture,Technology and IT
74.43,85.42,44.55,56.78,28.5,Engineering and Architecture,Technology and IT
75.49,78.75,44.72,52.74,25.53,Engineering and Architecture,Technology and IT
75.14,81.83,47.46,47.26,28.52,Engineering and Architecture,Technology and IT
70.65,85.7,40.99,47.24,20.01,Engineering and Architecture,Technology and IT
79.1,81.9,45.64,53.51,25.11,Engineering and Architecture,Technology and IT
65.94,92.18,36.84,48.65,32.88,Engineering and Architecture,Technology and IT
74.17,89.93,42.37,57.26,33.95,Engineering and Architecture,Technology and IT
79.25,88.93,36.99,61.03,20.28,Engineering and Architecture,Technology and IT
73.24,89.58,27.83,49.83,27.87,Engineering and Architecture,Technology and IT
61.6,92.37,34.95,51.61,28.79,Engineering and Architecture,Technology and IT
72.64,85.59,44.62,50.91,26.27,Engineering and Architecture,Technology and IT
73.02,82.5,43.29,51.98,26.48,Engineering and Architecture,Technology and IT
75.62,81.34,41.67,57.55,25.11,Engineering and Architecture,Technology and IT
80.33,93.07,32.37,57.95,32.34,Engineering and Architecture,Technology and IT
68.97,84.11,49.64,58.95,40.08,Engineering and Architecture,Technology and IT
72.23,84.89,45.26,53.17,28.86,Engineering and Architecture,Technology and IT
85.67,75.06,45.94,55.32,34.32,Engineering and Architecture,Technology and IT
77.21,87.09,44.47,51.44,34.34,Engineering and Architecture,Technology and IT
75.27,85.38,37.78,59.3,31.3,Engineering and Architecture,Technology and IT
69.86,80.68,38.72,47.84,24.3,Engineering and Architecture,Technology and IT
66.22,79.49,35.93,49.71,22.88,Engineering and Architecture,Technology and IT
89.3,86.4,43.05,60.19,33.24,Engineering and Architecture,Technology and IT
68.26,86.32,52.26,41.68,30.54,Engineering and Architecture,Technology and IT
77.93,93.75,38.13,58.21,25.48,Engineering and Architecture,Technology and IT
74.41,85.63,37.6,52.22,21.81,Engineering and Architecture,Technology and IT
65.88,84.92,29.77,43.6,21.12,Engineering and Architecture,Technology and IT
68.31,96.74,35.58,48.98,26.68,Engineering and Architecture,Technology and IT
82.19,86.14,52.99,57.92,24.96,Engineering and Architecture,Technology and IT
79.46,91.95,49.06,63.53,29.24,Engineering and Architecture,Technology and IT
73.63,83.8,31.74,44.47,25.21,Engineering and Architecture,Technology and IT
83.76,85.97,45.54,56.38,35.39,Engineering and Architecture,Technology and IT
62.52,79.89,32.75,53.79,32.11,Engineering and Architecture,Technology and IT
69.88,86.15,31.47,47.83,31.45,Engineering and Architecture,Technology and IT
70.94,84.89,22.22,46.74,29.95,Engineering and Architecture,Technology and IT
76.49,85.78,42.3,55.48,28.98,Engineering and Architecture,Technology and IT
78.7,96.89,36.65,48.63,27.61,Engineering and Architecture,Technology and IT
81.15,81.48,33.06,55.81,20.24,Engineering and Architecture,Technology and IT
74.81,95.33,46.02,56.45,32.29,Engineering and Architecture,Technology and IT
77.02,87.13,48.04,56.84,25.99,Engineering and Architecture,Technology and IT
67.96,87.58,34.65,53.95,19.03,Engineering and Architecture,Technology and IT
79.83,84.55,47.24,53.1,22.4,Engineering and Architecture,Technology and IT
68.49,98.28,31.47,49.09,28.42,Engineering and Architecture,Technology and IT
72.15,87.78,32.53,48.05,27.57,Engineering and Architecture,Technology and IT
75.33,92.64,37.39,51.4,25.63,Engineering and Architecture,Technology and IT
71.07,81.14,40.34,55.51,32.61,Engineering and Architecture,Technology and IT
75.1,95.89,42.82,48.58,21.0,Engineering and Architecture,Technology and IT
78.37,85.82,30.12,53.21,18.28,Engineering and Architecture,Technology and IT
82.4,84.64,31.64,57.92,26.09,Engineering and Architecture,Technology and IT
71.2,85.92,38.34,50.57,31.85,Engineering and Architecture,Technology and IT
71.87,80.42,47.7,48.19,25.31,Engineering and Architecture,Technology and IT
75.32,91.93,25.43,49.92,29.56,Engineering and Architecture,Technology and IT
79.3,90.56,34.21,51.73,24.61,Engineering and Architecture,Technology and IT
67.64,73.7,35.25,63.54,33.9,Engineering and Architecture,Technology and IT
74.91,84.54,38.32,48.86,23.13,Engineering and Architecture,Technology and IT
75.85,82.57,31.73,48.98,31.27,Engineering and Architecture,Technology and IT
66.09,78.01,45.02,60.08,35.3,Engineering and Architecture,Technology and IT
68.63,83.19,35.7,50.18,25.16,Engineering and Architecture,Technology and IT
66.94,87.62,27.3,50.74,27.56,Engineering and Architecture,Technology and IT
76.12,84.38,43.28,45.21,30.91,Engineering and Architecture,Technology and IT
66.44,79.92,49.97,58.73,39.0,Engineering and Architecture,Technology and IT
76.08,83.85,45.64,51.92,34.98,Engineering and Architecture,Technology and IT
75.84,86.53,56.5,51.68,36.55,Engineering and Architecture,Technology and IT
87.8,76.71,48.87,57.0,35.48,Engineering and Architecture,Technology and IT
73.88,78.63,36.52,47.28,29.57,Engineering and Architecture,Technology and IT
65.39,92.53,22.94,55.97,17.83,Engineering and Architecture,Technology and IT
69.87,96.21,40.31,45.46,15.26,Engineering and Architecture,Technology and IT
73.62,78.54,49.26,60.78,37.05,Engineering and Architecture,Technology and IT
80.89,83.76,48.81,55.54,27.09,Engineering and Architecture,Technology and IT
66.19,78.89,46.91,49.57,31.13,Engineering and Architecture,Technology and IT
79.02,84.75,45.8,60.19,26.67,Engineering and Architecture,Technology and IT
66.3,74.69,36.49,54.49,24.44,Engineering and Architecture,Technology and IT
71.66,92.08,32.39,47.19,23.38,Engineering and Architecture,Technology and IT
74.12,80.39,43.57,58.99,35.85,Engineering and Architecture,Technology and IT
78.03,91.02,43.18,60.76,24.12,Engineering and Architecture,Technology and IT
76.5,95.87,37.71,50.93,22.15,Engineering and Architecture,Technology and IT
85.5,86.98,31.81,54.7,33.13,Engineering and Architecture,Technology and IT
76.03,82.53,48.42,57.2,29.82,Engineering and Architecture,Technology and IT
68.78,91.61,35.32,47.75,22.45,Engineering and Architecture,Technology and IT
63.62,88.97,33.83,52.25,28.32,Engineering and Architecture,Technology and IT
73.25,85.97,33.86,56.59,34.18,Engineering and Architecture,Technology and IT
79.81,83.18,49.73,61.04,29.9,Engineering and Architecture,Technology and IT
96.76,74.9,49.33,55.42,28.62,Engineering and Architecture,Technology and IT
68.25,92.81,36.96,36.52,27.16,Engineering and Architecture,Technology and IT
72.19,87.77,45.36,48.79,21.45,Engineering and Architecture,Technology and IT
92.55,94.73,53.25,56.61,36.53,Engineering and Architecture,Technology and IT
84.54,85.29,48.09,62.84,33.78,Engineering and Architecture,Technology and IT
