openness,conscientiousness,extraversion,agreeableness,neuroticism,actual,predicted
68.14,91.08,38.53,55.57,26.99,Technology and IT,Engineering and Architecture
75.99,95.28,33.42,52.91,19.13,Technology and IT,Engineering and Architecture
65.84,87.99,43.93,57.91,31.35,Technology and IT,Engineering and Architecture
73.06,88.83,34.74,52.21,31.91,Technology and IT,Engineering and Architecture
71.44,84.59,40.79,64.61,32.51,Technology and IT,Engineering and Architecture
70.26,90.03,40.48,61.39,19.58,Technology and IT,Engineering and Architecture
69.64,87.99,41.66,52.18,29.58,Technology and IT,Engineering and Architecture
73.85,79.11,52.87,57.18,22.72,Technology and IT,Engineering and Architecture
70.62,83.68,45.83,57.66,30.19,Technology and IT,Engineering and Architecture
73.07,85.84,49.08,54.54,26.61,Technology and IT,Engineering and Architecture
76.17,89.72,32.42,51.69,19.43,Technology and IT,Engineering and Architecture
72.88,83.22,41.15,59.14,28.41,Technology and IT,Engineering and Architecture
75.34,82.61,45.1,58.26,18.68,Technology and IT,Engineering and Architecture
91.87,89.83,49.97,65.21,29.81,Technology and IT,Engineering and Architecture
87.02,94.13,48.43,68.15,35.17,Technology and IT,Engineering and Architecture
73.82,93.71,36.46,56.6,25.23,Technology and IT,Engineering and Architecture
70.25,88.59,42.47,60.59,31.95,Technology and IT,Engineering and Architecture
73.3,100.0,48.54,50.7,31.7,Technology and IT,Engineering and Architecture
74.05,94.31,45.51,57.93,31.09,Technology and IT,Engineering and Architecture
64.86,88.29,39.38,53.57,27.85,Technology and IT,Engineering and Architecture
67.86,88.06,42.64,52.4,26.29,Technology and IT,Engineering and Architecture
73.35,88.97,48.77,51.39,28.06,Technology and IT,Engineering and Architecture
65.34,90.93,41.62,54.89,36.21,Technology and IT,Engineering and Architecture
67.42,88.93,45.09,50.07,25.74,Technology and IT,Engineering and Architecture
70.42,88.41,34.35,51.24,28.67,Technology and IT,Engineering and Architecture
73.61,91.94,44.1,57.11,25.23,Technology and IT,Engineering and Architecture
64.33,80.27,41.89,58.29,23.42,Technology and IT,Engineering and Architecture
66.9,87.0,47.78,55.09,34.25,Technology and IT,Engineering and Architecture
74.21,86.36,46.22,62.42,29.05,Technology and IT,Engineering and Architecture
65.84,99.35,37.78,52.03,24.26,Technology and IT,Engineering and Architecture
74.6,90.48,39.41,63.79,31.75,Technology and IT,Engineering and Architecture
66.58,83.62,46.45,49.66,30.36,Technology and IT,Engineering and Architecture
75.95,86.81,55.06,57.04,27.2,Technology and IT,Engineering and Architecture
81.41,82.85,54.53,64.25,46.3,Technology and IT,Engineering and Architecture
100.0,80.75,46.47,64.75,31.75,Technology and IT,Engineering and Architecture
67.47,81.88,44.37,55.0,28.22,Technology and IT,Engineering and Architecture
71.07,86.82,42.13,63.91,33.83,Technology and IT,Engineering and Architecture
58.99,86.15,43.88,59.25,25.63,Technology and IT,Engineering and Architecture
72.61,82.98,38.93,52.54,25.32,Technology and IT,Engineering and Architecture
71.13,91.49,45.37,51.34,30.19,Technology and IT,Engineering and Architecture
71.51,85.59,44.84,59.76,33.18,Technology and IT,Engineering and Architecture
67.02,89.25,35.21,56.09,25.38,Technology and IT,Engineering and Architecture
64.4,93.04,34.54,57.13,24.54,Technology and IT,Engineering and Architecture
74.73,92.49,44.23,57.62,21.16,Technology and IT,Engineering and Architecture
60.58,75.62,47.19,56.67,29.42,Technology and IT,Engineering and Architecture
67.43,86.78,38.08,48.49,33.56,Technology and IT,Engineering and Architecture
75.22,83.92,40.11,59.01,22.24,Technology and IT,Engineering and Architecture
77.5,86.73,62.11,52.03,30.0,Technology and IT,Engineering and Architecture
65.96,84.05,42.74,51.86,22.1,Technology and IT,Engineering and Architecture
66.1,87.19,41.98,54.93,29.19,Technology and IT,Engineering and Architecture
68.44,78.97,45.02,56.13,26.77,Technology and IT,Engineering and Architecture
70.42,88.57,44.05,65.4,28.57,Technology and IT,Engineering and Architecture
75.34,87.82,38.48,56.5,17.4,Technology and IT,Engineering and Architecture
88.41,74.69,54.38,57.98,25.23,Technology and IT,Engineering and Architecture
73.42,91.07,41.01,52.82,26.51,Technology and IT,Engineering and Architecture
70.31,93.2,38.42,58.17,24.02,Technology and IT,Engineering and Architecture
66.83,84.32,42.8,50.08,28.49,Technology and IT,Engineering and Architecture
76.86,94.81,46.16,66.13,40.91,Technology and IT,Engineering and Architecture
74.37,97.32,29.62,52.88,24.95,Technology and IT,Engineering and Architecture
68.46,83.93,37.32,63.82,33.89,Technology and IT,Engineering and Architecture
72.22,90.02,46.55,57.56,30.15,Technology and IT,Engineering and Architecture
70.89,89.31,30.26,56.78,23.46,Technology and IT,Engineering and Architecture
71.51,89.23,56.57,51.86,26.7,Technology and IT,Engineering and Architecture
75.11,90.74,46.66,57.41,28.7,Technology and IT,Engineering and Architecture
68.16,82.02,37.64,53.48,32.52,Technology and IT,Engineering and Architecture
67.15,90.75,39.4,52.66,27.87,Technology and IT,Engineering and Architecture
63.35,92.66,49.23,51.61,27.23,Technology and IT,Engineering and Architecture
74.13,86.0,46.52,62.12,35.49,Technology and IT,Engineering and Architecture
75.52,90.29,48.24,62.15,25.81,Technology and IT,Engineering and Architecture
71.56,94.0,41.07,55.1,26.13,Technology and IT,Engineering and Architecture
81.87,85.34,52.25,67.69,27.97,Technology and IT,Engineering and Architecture
74.43,89.48,30.65,53.09,25.01,Technology and IT,Engineering and Architecture
68.76,84.87,40.21,51.32,23.55,Technology and IT,Engineering and Architecture
73.42,90.3,40.85,54.8,21.46,Technology and IT,Engineering and Architecture
62.71,96.78,38.28,54.12,29.57,Technology and IT,Engineering and Architecture
70.48,91.5,33.19,52.73,25.31,Technology and IT,Engineering and Architecture
71.16,87.2,40.6,51.99,22.96,Technology and IT,Engineering and Architecture
71.64,79.06,33.31,54.89,22.4,Technology and IT,Engineering and Architecture
71.5,93.92,30.66,54.88,14.9,Technology and IT,Engineering and Architecture
70.16,83.99,38.85,50.87,22.05,Technology and IT,Engineering and Architecture
61.52,87.38,44.78,60.42,23.01,Technology and IT,Engineering and Architecture
70.93,85.53,48.33,56.91,14.3,Technology and IT,Engineering and Architecture
68.02,87.83,39.55,50.56,30.99,Technology and IT,Engineering and Architecture
72.71,83.42,44.56,56.12,24.97,Technology and IT,Engineering and Architecture
73.15,91.02,41.28,52.95,30.11,Technology and IT,Engineering and Architecture
72.61,91.02,34.48,54.16,24.36,Technology and IT,Engineering and Architecture
72.09,88.25,46.39,52.35,22.51,Technology and IT,Engineering and Architecture
69.26,82.19,35.12,53.69,19.87,Technology and IT,Engineering and Architecture
68.87,91.55,28.38,55.29,31.03,Technology and IT,Engineering and Architecture
94.07,81.87,44.18,59.79,34.14,Technology and IT,Engineering and Architecture
71.85,92.85,45.15,51.07,33.23,Technology and IT,Engineering and Architecture
74.26,90.18,32.18,57.04,27.15,Technology and IT,Engineering and Architecture
94.6,81.31,47.62,60.32,28.61,Technology and IT,Engineering and Architecture
72.71,88.12,41.37,52.92,26.27,Technology and IT,Engineering and Architecture
63.26,99.49,41.11,57.03,21.96,Technology and IT,Engineering and Architecture
67.5,90.59,38.86,51.64,24.97,Technology and IT,Engineering and Architecture
75.92,94.99,35.03,55.83,27.01,Technology and IT,Engineering and Architecture
73.87,85.84,45.51,57.26,26.07,Technology and IT,Engineering and Architecture
